"analysis_id","draw","replicate","estimand","regime","sites","pooled_sites","pooled_population_share","unweighted_takeup","population_weighted_takeup","expected_takers","population_mean_distance_km","population_p90_distance_km","site_cost","signal_cost","travel_cost","total_cost","target_rate","target_slack_takers","roundtrip_participant_km","taker_mean_distance_km"
"baseline-posterior",1397,1397,"population","control",101,34,0.442354141506684,0.296699258128864,0.324019014356543,31122.6743669747,1.24736100170387,3.18966975273969,101,0,0,101,0.323710682485211,29.615892905229,50418.1657943034,0.809990896023445
"baseline-posterior",1397,1397,"population","bracelet",73,54,0.833204930662558,0.316155298737674,0.325504898826567,31265.3965420894,2.08574781477792,3.28719386956715,73,0,0,73,0.323710682485211,172.338068019977,113405.593330895,1.81359595388832
"baseline-posterior",1397,1397,"legacy","control",106,29,0.465277777777778,0.324186011952206,0.324186011952206,46.6827857211176,1.25238167879258,3.20573768696429,106,0,0,106,0.323194273834801,0.142810288906219,73.0483032085101,0.78239014746142
"baseline-posterior",1397,1397,"legacy","bracelet",74,53,0.854166666666667,0.323747700198813,0.323747700198813,46.6196688286291,2.1020671452199,3.29489158085168,74,0,0,74,0.323194273834801,0.0796933964177526,172.686008485344,1.8520724495076
"baseline-posterior",1398,1398,"population","control",102,35,0.442354141506684,0.308928748138486,0.33594511623536,32268.2003046388,1.2211903282246,3.15011459104687,102,0,0,102,0.334469839966954,141.70323613298,53426.6636858909,0.827853167847889
"baseline-posterior",1398,1398,"population","bracelet",77,50,0.760265272977137,0.32245193516478,0.335225295269476,32199.0600612237,1.91595828707346,3.27297399145503,77,0,0,77,0.334469839966954,72.5629927178416,104528.993082529,1.62316839193096
"baseline-posterior",1398,1398,"legacy","control",107,29,0.458333333333333,0.336116410877116,0.336116410877116,48.4007631663046,1.22980607934852,3.12922663651524,107,0,0,107,0.333977247341139,0.308039549180592,76.4056952425891,0.789302587854449
"baseline-posterior",1398,1398,"legacy","bracelet",80,47,0.770833333333333,0.335167337088641,0.335167337088641,48.2640965407642,1.90695614881275,3.25257426446003,80,0,0,80,0.333977247341139,0.171372923640192,158.458732561359,1.64157980692256
"baseline-posterior",1399,1399,"population","control",102,35,0.442874692874693,0.311811695085206,0.341396045267091,32791.7729399947,1.22346353609072,3.13398607852492,102,0,0,102,0.339831272682682,150.299536277667,52813.0057565369,0.805278291191801
"baseline-posterior",1399,1399,"population","bracelet",79,50,0.744565443717986,0.32812317538586,0.341256645279426,32778.3832923794,1.85908484137705,3.27297399145503,79,0,0,79,0.339831272682682,136.909888662445,102752.471528288,1.56738162788183
"baseline-posterior",1399,1399,"legacy","control",107,30,0.465277777777778,0.34157100932882,0.34157100932882,49.1862253433501,1.22673445483075,3.0721278373294,107,0,0,107,0.339292935092488,0.32804269003185,76.5549874012409,0.778215718596416
"baseline-posterior",1399,1399,"legacy","bracelet",81,46,0.756944444444444,0.339705284839539,0.339705284839539,48.9175610168937,1.87179012160184,3.20998882267476,81,0,0,81,0.339292935092488,0.0593783635754477,156.712338867445,1.60180041287549
"baseline-posterior",1400,1400,"population","control",102,34,0.437148627826594,0.306747331703374,0.329569179976578,31655.7788751103,1.22239917359965,3.13398607852492,102,0,0,102,0.32873095429502,80.5132531650197,53502.5843036448,0.845068202471426
"baseline-posterior",1400,1400,"population","bracelet",83,47,0.689137134052388,0.315804606275122,0.329965610953131,31693.8568632701,1.71831898899175,3.27297399145503,83,0,0,83,0.32873095429502,118.591241324833,89827.4172205692,1.41711085539529
"baseline-posterior",1400,1400,"legacy","control",107,29,0.458333333333333,0.329662763939958,0.329662763939958,47.471438007354,1.22980607934852,3.12922663651524,107,0,0,107,0.328278144400212,0.199385213723524,77.0648832163662,0.811697374792267
"baseline-posterior",1400,1400,"legacy","bracelet",86,42,0.694444444444444,0.328569573790092,0.328569573790092,47.3140186257733,1.73485627598581,3.2766433130779,86,0,0,86,0.328278144400212,0.0419658321428003,135.844718204787,1.4355652103792
"baseline-posterior",1401,1401,"population","control",102,34,0.437148627826594,0.309646945831153,0.332458561082648,31933.3097091105,1.22239917359965,3.13398607852492,102,0,0,102,0.331841327554182,59.286514876203,54197.6326658404,0.848606567241884
