arm,distance_km,estimate,std_error,conf_low,conf_high,p_value
bracelet,0.45,-0.3552575470748809,0.13784263752301404,-0.6518747277041889,-0.10795297562075087,0.007992007992007992
bracelet,0.5,-0.339381507628361,0.12385954491486686,-0.603680866003258,-0.11794149967445897,0.003996003996003996
bracelet,0.55,-0.32131866623578076,0.10831172167139116,-0.5518570075756934,-0.12807544656049558,0.001998001998001998
bracelet,0.6000000000000001,-0.3010690228970675,0.0915717286983999,-0.49880829491606266,-0.14340478642747576,0.001998001998001998
bracelet,0.65,-0.2786325776117599,0.07445147516035487,-0.4369754354751783,-0.1483013866597937,0.001998001998001998
bracelet,0.7000000000000001,-0.25400933038113244,0.0589087828818688,-0.3815927997685743,-0.14633443811769187,0.001998001998001998
bracelet,0.75,-0.227336264727423,0.04959642576793778,-0.33142926966916786,-0.13118233523135794,0.001998001998001998
bracelet,0.8,-0.20119305168104942,0.051389666512069485,-0.29753482528100644,-0.08906407156808413,0.001998001998001998
bracelet,0.8500000000000001,-0.1765580552832994,0.06064578259952002,-0.28112305539139965,-0.05190121422155896,0.007992007992007992
bracelet,0.9,-0.1534312755339594,0.07219532863213052,-0.28433989278509125,-0.005854648823603009,0.03996003996003996
bracelet,0.9500000000000001,-0.13181271243148016,0.08329078470659845,-0.2857180871766424,0.037922662641668825,0.13786213786213786
bracelet,1,-0.11170236597800494,0.0927337323781458,-0.2863428880191962,0.07919848242647179,0.26373626373626374
bracelet,1.05,-0.09310023617208651,0.0999858754304955,-0.28368495505962243,0.11348888780782157,0.38961038961038963
bracelet,1.1,-0.07600632301386043,0.10479053848471494,-0.2796959156391125,0.14264908841303564,0.5154845154845155
bracelet,1.15,-0.060420626504100704,0.10702511164447555,-0.27155563105733604,0.16180431172173862,0.6213786213786214
bracelet,1.2000000000000002,-0.046343146641710554,0.10664279217419331,-0.2589807394518672,0.1762255312713053,0.7172827172827173
bracelet,1.25,-0.03377388342726498,0.10365287569634242,-0.24248070329722396,0.1875234270989939,0.8271728271728271
bracelet,1.3,-0.02271283686011794,0.09812429722041732,-0.21990688311314702,0.18005557439415654,0.8971028971028971
bracelet,1.35,-0.013160006942238983,0.09021495271623767,-0.1941046679477252,0.16970240437177014,0.951048951048951
bracelet,1.4,-0.0051153936703293434,0.08024990173889185,-0.16646766921666062,0.15761244780699776,0.993006993006993
bracelet,1.4500000000000002,0.0014210029522074216,0.06891825361038653,-0.14063770466304915,0.13480398099102303,0.973026973026973
bracelet,1.5,0.006501873646097472,0.05786283451511153,-0.11279741937615483,0.11897956011803851,0.913086913086913
bracelet,1.5500000000000003,0.011064918723098408,0.05124060083434272,-0.09992571625313622,0.10579565195018033,0.8591408591408591
bracelet,1.6,0.015455537162555932,0.05104590260940243,-0.10412959061535189,0.09628802229375404,0.8231768231768232
bracelet,1.65,0.019673728963900135,0.056659821658412185,-0.12222129978643846,0.09776237912011795,0.7472527472527473
bracelet,1.7000000000000002,0.023719494127386304,0.06606504260234994,-0.1480594062027998,0.10728547729077738,0.7192807192807192
bracelet,1.75,0.027592832653938047,0.07743738662549726,-0.17516192206735168,0.125398733153164,0.7252747252747253
bracelet,1.8000000000000003,0.03129374454127793,0.08965142446179994,-0.19689402976971795,0.143677786097338,0.7432567432567433
bracelet,1.85,0.03482222979178356,0.10208480214071648,-0.22449267066190054,0.16428125373575675,0.7312687312687313
bracelet,1.9,0.03817828840368746,0.11439243704986052,-0.25003378450349534,0.18804206153687944,0.7392607392607392
bracelet,1.9500000000000002,0.04136192037836957,0.1263752534611901,-0.27592415501423734,0.21054429612175174,0.7592407592407593
bracelet,2,0.04437312571492833,0.13791285104436907,-0.3012768077880714,0.2323803324731689,0.7692307692307693
